,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,annual_salary,economic_impact
364,37,No,Travel_Rarely,921,Research & Development,10,Bachelor’s Degree,Medical,486,High,Female,98,High,Entry-level,Laboratory Technician,Low,Married,3452,17663,6,No,20,Exceptional,Medium,1,17,3,High,5,4,0,3,41424,8160.528
365,46,No,Non-Travel,1144,Research & Development,7,Master’s Degree,Medical,487,High,Female,30,High,Intermediate,Manufacturing Director,High,Married,5258,16044,2,No,14,Satisfactory,High,0,7,2,Very High,1,0,0,0,63096,12871.583999999999
366,41,Yes,Travel_Frequently,143,Sales,4,Bachelor’s Degree,Marketing,488,Low,Male,56,High,Intermediate,Sales Executive,Medium,Single,9355,9558,1,No,18,Satisfactory,High,0,8,5,High,8,7,7,7,112260,23574.6
367,50,No,Travel_Rarely,1046,Research & Development,10,Bachelor’s Degree,Technical Degree,491,Very High,Male,100,Medium,Supervisory,Healthcare Representative,Very High,Single,10496,2755,6,No,15,Satisfactory,Very High,0,20,2,High,4,3,1,3,125952,26449.92
368,40,Yes,Travel_Rarely,575,Sales,22,Associate Degree,Marketing,492,High,Male,68,Medium,Intermediate,Sales Executive,High,Married,6380,6110,2,Yes,12,Satisfactory,Low,2,8,6,High,6,4,1,0,76560,16077.599999999999
369,31,No,Travel_Rarely,408,Research & Development,9,Master’s Degree,Life Sciences,493,High,Male,42,Medium,Entry-level,Research Scientist,Medium,Single,2657,7551,0,Yes,16,Satisfactory,Very High,0,3,5,High,2,2,2,2,31884,6281.148
370,21,Yes,Travel_Rarely,156,Sales,12,Bachelor’s Degree,Life Sciences,494,High,Female,90,Very High,Entry-level,Sales Representative,Medium,Single,2716,25422,1,No,15,Satisfactory,Very High,0,1,0,High,1,0,0,0,32592,6420.624000000001
371,29,No,Travel_Rarely,1283,Research & Development,23,Bachelor’s Degree,Life Sciences,495,Very High,Male,54,High,Entry-level,Research Scientist,Very High,Single,2201,18168,9,No,16,Satisfactory,Very High,0,6,4,High,3,2,1,2,26412,4252.332
372,35,No,Travel_Rarely,755,Research & Development,9,Master’s Degree,Life Sciences,496,High,Male,97,Medium,Intermediate,Healthcare Representative,Medium,Single,6540,19394,9,No,19,Satisfactory,High,0,10,5,High,1,1,0,0,78480,16480.8
373,27,No,Travel_Rarely,1469,Research & Development,1,Associate Degree,Medical,497,Very High,Male,82,High,Entry-level,Laboratory Technician,Medium,Divorced,3816,17881,1,No,11,Satisfactory,Medium,1,5,2,High,5,2,0,4,45792,9021.024000000001
374,28,No,Travel_Rarely,304,Sales,9,Master’s Degree,Life Sciences,498,Medium,Male,92,High,Intermediate,Sales Executive,Very High,Single,5253,20750,1,No,16,Satisfactory,Very High,0,7,1,High,7,5,0,7,63036,12859.344
375,49,No,Travel_Rarely,1261,Research & Development,7,Bachelor’s Degree,Other,499,Medium,Male,31,Medium,Supervisory,Healthcare Representative,High,Single,10965,12066,8,No,24,Exceptional,High,0,26,2,High,5,2,0,0,131580,27631.8
376,51,No,Travel_Rarely,1178,Sales,14,Associate Degree,Life Sciences,500,High,Female,87,High,Intermediate,Sales Executive,Very High,Married,4936,14862,4,No,11,Satisfactory,High,1,18,2,Medium,7,7,0,7,59232,12083.328
377,36,No,Travel_Rarely,329,Research & Development,2,Bachelor’s Degree,Life Sciences,501,Very High,Female,96,High,Entry-level,Research Scientist,High,Married,2543,11868,4,No,13,Satisfactory,Medium,1,6,3,High,2,2,2,2,30516,6011.652
378,34,Yes,Non-Travel,1362,Sales,19,Bachelor’s Degree,Marketing,502,Low,Male,67,Very High,Intermediate,Sales Executive,Very High,Single,5304,4652,8,Yes,13,Satisfactory,Medium,0,9,3,Medium,5,2,0,4,63648,12984.192
379,55,No,Travel_Rarely,1311,Research & Development,2,Bachelor’s Degree,Life Sciences,505,High,Female,97,High,Managerial,Manager,Very High,Single,16659,23258,2,Yes,13,Satisfactory,High,0,30,2,High,5,4,1,2,199908,41980.68
380,24,No,Travel_Rarely,1371,Sales,10,Master’s Degree,Marketing,507,Very High,Female,77,High,Intermediate,Sales Executive,High,Divorced,4260,5915,1,Yes,12,Satisfactory,Very High,1,5,2,Very High,5,2,0,3,51120,10428.48
381,30,No,Travel_Rarely,202,Sales,2,High School,Technical Degree,508,High,Male,72,High,Entry-level,Sales Representative,Medium,Married,2476,17434,1,No,18,Satisfactory,Low,1,1,3,High,1,0,0,0,29712,4783.6320000000005
382,26,Yes,Travel_Frequently,575,Research & Development,3,High School,Technical Degree,510,High,Male,73,High,Entry-level,Research Scientist,Low,Single,3102,6582,0,No,22,Exceptional,High,0,7,2,High,6,4,0,4,37224,7333.128000000001
383,22,No,Travel_Rarely,253,Research & Development,11,Bachelor’s Degree,Medical,511,Low,Female,43,High,Entry-level,Research Scientist,Medium,Married,2244,24440,1,No,13,Satisfactory,Very High,1,2,1,High,2,1,1,2,26928,4335.408
384,36,No,Travel_Rarely,164,Sales,2,Associate Degree,Medical,513,Medium,Male,61,Medium,Supervisory,Sales Executive,High,Married,7596,3809,1,No,13,Satisfactory,Medium,2,10,2,High,10,9,9,0,91152,19141.92
385,30,Yes,Travel_Frequently,464,Research & Development,4,Bachelor’s Degree,Technical Degree,514,High,Male,40,High,Entry-level,Research Scientist,Very High,Single,2285,3427,9,Yes,23,Exceptional,High,0,3,4,High,1,0,0,0,27420,4414.62
386,37,No,Travel_Rarely,1107,Research & Development,14,Bachelor’s Degree,Life Sciences,515,Very High,Female,95,High,Entry-level,Laboratory Technician,Low,Divorced,3034,26914,1,No,12,Satisfactory,High,1,18,2,Medium,18,7,12,17,36408,7172.376
387,40,No,Travel_Rarely,759,Sales,2,Associate Degree,Marketing,516,Very High,Female,46,High,Intermediate,Sales Executive,Medium,Divorced,5715,22553,7,No,12,Satisfactory,High,2,8,5,High,5,4,1,3,68580,13990.32
388,42,No,Travel_Rarely,201,Research & Development,1,Master’s Degree,Life Sciences,517,Medium,Female,95,High,Entry-level,Laboratory Technician,Low,Divorced,2576,20490,3,No,16,Satisfactory,Medium,1,8,5,High,5,2,1,2,30912,6089.664000000001
389,37,No,Travel_Rarely,1305,Research & Development,10,Master’s Degree,Life Sciences,518,High,Male,49,High,Intermediate,Manufacturing Director,Medium,Single,4197,21123,2,Yes,12,Satisfactory,Very High,0,18,2,Medium,1,0,0,1,50364,10274.256
390,43,No,Travel_Rarely,982,Research & Development,12,Bachelor’s Degree,Life Sciences,520,Low,Male,59,Medium,Managerial,Research Director,Medium,Divorced,14336,4345,1,No,11,Satisfactory,High,1,25,3,High,25,10,3,9,172032,36126.72
391,40,No,Travel_Rarely,555,Research & Development,2,Bachelor’s Degree,Medical,521,Medium,Female,78,Medium,Intermediate,Laboratory Technician,High,Married,3448,13436,6,No,22,Exceptional,Medium,1,20,3,High,1,0,0,0,41376,8151.072
392,54,No,Travel_Rarely,821,Research & Development,5,Associate Degree,Medical,522,Low,Male,86,High,Executive,Research Director,Low,Married,19406,8509,4,No,11,Satisfactory,High,1,24,4,Medium,4,2,1,2,232872,48903.119999999995
393,34,No,Non-Travel,1381,Sales,4,Master’s Degree,Marketing,523,High,Female,72,High,Intermediate,Sales Executive,High,Married,6538,12740,9,No,15,Satisfactory,Low,1,6,3,High,3,2,1,2,78456,16475.76
394,31,No,Travel_Rarely,480,Research & Development,7,Associate Degree,Medical,524,Medium,Female,31,High,Intermediate,Manufacturing Director,Low,Married,4306,4156,1,No,12,Satisfactory,Medium,1,13,5,Low,13,10,3,12,51672,10541.088
395,43,No,Travel_Frequently,313,Research & Development,21,Bachelor’s Degree,Medical,525,Very High,Male,61,High,Entry-level,Laboratory Technician,Very High,Married,2258,15238,7,No,20,Exceptional,Low,1,8,1,High,3,2,1,2,27096,4362.456
396,43,No,Travel_Rarely,1473,Research & Development,8,Master’s Degree,Other,526,High,Female,74,High,Intermediate,Healthcare Representative,High,Divorced,4522,2227,4,Yes,14,Satisfactory,Very High,0,8,3,High,5,2,0,2,54264,11069.856
397,25,No,Travel_Rarely,891,Sales,4,Associate Degree,Life Sciences,527,Medium,Female,99,Medium,Intermediate,Sales Executive,Very High,Single,4487,12090,1,Yes,11,Satisfactory,Medium,0,5,3,High,5,4,1,3,53844,10984.176
398,37,No,Non-Travel,1063,Research & Development,25,Doctorate,Medical,529,Medium,Female,72,High,Intermediate,Research Scientist,High,Married,4449,23866,3,Yes,15,Satisfactory,Low,2,15,2,High,13,11,10,7,53388,10891.152
399,31,No,Travel_Rarely,329,Research & Development,1,Associate Degree,Life Sciences,530,Very High,Male,98,Medium,Entry-level,Laboratory Technician,Low,Married,2218,16193,1,No,12,Satisfactory,High,1,4,3,High,4,2,3,2,26616,4285.176
400,39,No,Travel_Frequently,1218,Research & Development,1,High School,Life Sciences,531,Medium,Male,52,High,Executive,Manager,High,Divorced,19197,8213,1,Yes,14,Satisfactory,High,1,21,3,High,21,8,1,6,230364,48376.439999999995
401,56,No,Travel_Frequently,906,Sales,6,Bachelor’s Degree,Life Sciences,532,High,Female,86,Very High,Managerial,Sales Executive,Low,Married,13212,18256,9,No,11,Satisfactory,Very High,3,36,0,Medium,7,7,7,7,158544,33294.24
402,30,No,Travel_Rarely,1082,Sales,12,Bachelor’s Degree,Technical Degree,533,Medium,Female,83,High,Intermediate,Sales Executive,High,Single,6577,19558,0,No,11,Satisfactory,Medium,0,6,6,High,5,4,4,4,78924,16574.04
403,41,No,Travel_Rarely,645,Sales,1,Bachelor’s Degree,Marketing,534,Medium,Male,49,Very High,Supervisory,Sales Executive,Low,Married,8392,19566,1,No,16,Satisfactory,High,1,10,2,High,10,7,0,7,100704,21147.84
404,28,No,Travel_Rarely,1300,Research & Development,17,Associate Degree,Medical,536,High,Male,79,High,Intermediate,Laboratory Technician,Low,Divorced,4558,13535,1,No,12,Satisfactory,Very High,1,10,2,High,10,0,1,8,54696,11157.983999999999
405,25,Yes,Travel_Rarely,688,Research & Development,3,Bachelor’s Degree,Medical,538,Low,Male,91,High,Entry-level,Laboratory Technician,Low,Married,4031,9396,5,No,13,Satisfactory,High,1,6,5,High,2,2,0,2,48372,9529.284
406,52,No,Travel_Rarely,319,Research & Development,3,Bachelor’s Degree,Medical,543,Very High,Male,39,Medium,Supervisory,Manufacturing Director,High,Married,7969,19609,2,Yes,14,Satisfactory,High,0,28,4,High,5,4,0,4,95628,20081.88
407,45,No,Travel_Rarely,192,Research & Development,10,Associate Degree,Life Sciences,544,Low,Male,69,High,Entry-level,Research Scientist,Very High,Married,2654,9655,3,No,21,Exceptional,Very High,2,8,3,Medium,2,2,0,2,31848,6274.0560000000005
408,52,No,Travel_Rarely,1490,Research & Development,4,Associate Degree,Life Sciences,546,Very High,Female,30,High,Managerial,Manager,Very High,Married,16555,10310,2,No,13,Satisfactory,Very High,0,31,2,Low,5,2,1,4,198660,41718.6
409,42,No,Travel_Frequently,532,Research & Development,29,Associate Degree,Life Sciences,547,Low,Female,92,High,Intermediate,Research Scientist,High,Divorced,4556,12932,2,No,11,Satisfactory,Medium,1,19,3,High,5,4,0,2,54672,11153.088
410,30,No,Travel_Rarely,317,Research & Development,2,Bachelor’s Degree,Life Sciences,548,High,Female,43,Low,Intermediate,Manufacturing Director,Very High,Single,6091,24793,2,No,20,Exceptional,High,0,11,2,High,5,4,0,2,73092,14910.767999999998
411,60,No,Travel_Rarely,422,Research & Development,7,Bachelor’s Degree,Life Sciences,549,Low,Female,41,High,Executive,Manager,Low,Married,19566,3854,5,No,11,Satisfactory,Very High,0,33,5,Low,29,8,11,10,234792,49306.32
412,46,No,Travel_Rarely,1485,Research & Development,18,Bachelor’s Degree,Medical,550,High,Female,87,High,Intermediate,Manufacturing Director,High,Divorced,4810,26314,2,No,14,Satisfactory,High,1,19,5,Medium,10,7,0,8,57720,11774.88
413,42,No,Travel_Frequently,1368,Research & Development,28,Master’s Degree,Technical Degree,551,Very High,Female,88,Medium,Intermediate,Healthcare Representative,Very High,Married,4523,4386,0,No,11,Satisfactory,Very High,3,7,4,Very High,6,5,0,4,54276,11072.304
414,24,Yes,Travel_Rarely,1448,Sales,1,High School,Technical Degree,554,Low,Female,62,High,Entry-level,Sales Representative,Medium,Single,3202,21972,1,Yes,16,Satisfactory,Medium,0,6,4,High,5,3,1,4,38424,7569.528
415,34,Yes,Travel_Frequently,296,Sales,6,Associate Degree,Marketing,555,Very High,Female,33,Low,Entry-level,Sales Representative,High,Divorced,2351,12253,0,No,16,Satisfactory,Very High,1,3,3,Medium,2,2,1,0,28212,4542.1320000000005
416,38,No,Travel_Frequently,1490,Research & Development,2,Associate Degree,Life Sciences,556,Very High,Male,42,High,Entry-level,Laboratory Technician,Very High,Married,1702,12106,1,Yes,23,Exceptional,High,1,1,3,High,1,0,0,0,20424,3288.264
417,40,No,Travel_Rarely,1398,Sales,2,Master’s Degree,Life Sciences,558,High,Female,79,High,Executive,Manager,High,Married,18041,13022,0,No,14,Satisfactory,Very High,0,21,2,High,20,15,1,12,216492,45463.32
418,26,No,Travel_Rarely,1349,Research & Development,23,Bachelor’s Degree,Life Sciences,560,Low,Female,90,High,Entry-level,Research Scientist,Very High,Divorced,2886,3032,1,No,22,Exceptional,Medium,2,3,3,Low,3,2,0,2,34632,6822.504
419,30,No,Non-Travel,1400,Research & Development,3,Bachelor’s Degree,Life Sciences,562,High,Male,53,High,Entry-level,Laboratory Technician,Very High,Married,2097,16734,4,No,15,Satisfactory,High,1,9,3,Low,5,3,1,4,25164,4051.404
420,29,No,Travel_Rarely,986,Research & Development,3,Master’s Degree,Medical,564,Medium,Male,93,Medium,Supervisory,Research Director,High,Married,11935,21526,1,No,18,Satisfactory,High,0,10,2,High,10,2,0,7,143220,30076.199999999997
421,29,Yes,Travel_Rarely,408,Research & Development,25,Doctorate,Technical Degree,565,High,Female,71,Medium,Entry-level,Research Scientist,Medium,Married,2546,18300,5,No,16,Satisfactory,Medium,0,6,2,Very High,2,2,1,1,30552,6018.744000000001
422,19,Yes,Travel_Rarely,489,Human Resources,2,Associate Degree,Technical Degree,566,Low,Male,52,Medium,Entry-level,Human Resources,Very High,Single,2564,18437,1,No,12,Satisfactory,High,0,1,3,Very High,1,0,0,0,30768,6061.296
423,30,No,Non-Travel,1398,Sales,22,Master’s Degree,Other,567,High,Female,69,High,Supervisory,Sales Executive,Low,Married,8412,2890,0,No,11,Satisfactory,High,0,10,3,High,9,8,7,8,100944,21198.239999999998
424,57,No,Travel_Rarely,210,Sales,29,Bachelor’s Degree,Marketing,568,Low,Male,56,Medium,Managerial,Manager,Very High,Divorced,14118,22102,3,No,12,Satisfactory,High,1,32,3,Medium,1,0,0,0,169416,35577.36
425,50,No,Travel_Rarely,1099,Research & Development,29,Master’s Degree,Life Sciences,569,Medium,Male,88,Medium,Managerial,Manager,High,Married,17046,9314,0,No,15,Satisfactory,Medium,1,28,2,High,27,10,15,7,204552,42955.92
426,30,No,Non-Travel,1116,Research & Development,2,Bachelor’s Degree,Medical,571,High,Female,49,High,Entry-level,Laboratory Technician,Very High,Single,2564,7181,0,No,14,Satisfactory,High,0,12,2,Medium,11,7,6,7,30768,6061.296
427,60,No,Travel_Frequently,1499,Sales,28,Bachelor’s Degree,Marketing,573,High,Female,80,Medium,Supervisory,Sales Executive,Low,Married,10266,2845,4,No,19,Satisfactory,Very High,0,22,5,Very High,18,13,13,11,123192,25870.32
428,47,No,Travel_Rarely,983,Research & Development,2,Associate Degree,Medical,574,Low,Female,65,High,Intermediate,Manufacturing Director,Very High,Divorced,5070,7389,5,No,13,Satisfactory,High,3,20,2,High,5,0,0,4,60840,12411.359999999999
429,46,No,Travel_Rarely,1009,Research & Development,2,Bachelor’s Degree,Life Sciences,575,Low,Male,51,High,Managerial,Research Director,High,Married,17861,2288,6,No,13,Satisfactory,High,0,26,2,Low,3,2,0,1,214332,45009.72
430,35,No,Travel_Rarely,144,Research & Development,22,Bachelor’s Degree,Life Sciences,577,Very High,Male,46,Low,Entry-level,Laboratory Technician,High,Single,4230,19225,0,No,15,Satisfactory,High,0,6,2,High,5,4,4,3,50760,10355.039999999999
431,54,No,Travel_Rarely,548,Research & Development,8,Master’s Degree,Life Sciences,578,High,Female,42,High,Intermediate,Laboratory Technician,High,Single,3780,23428,7,No,11,Satisfactory,High,0,19,3,High,1,0,0,0,45360,8935.92
432,34,No,Travel_Rarely,1303,Research & Development,2,Master’s Degree,Life Sciences,579,Very High,Male,62,Medium,Entry-level,Research Scientist,High,Divorced,2768,8416,3,No,12,Satisfactory,High,1,14,3,High,7,3,5,7,33216,6543.552000000001
433,46,No,Travel_Rarely,1125,Sales,10,Bachelor’s Degree,Marketing,580,High,Female,94,Medium,Supervisory,Sales Executive,Very High,Married,9071,11563,2,Yes,19,Satisfactory,High,1,15,3,High,3,2,1,2,108852,22858.92
434,31,No,Travel_Rarely,1274,Research & Development,9,High School,Life Sciences,581,High,Male,33,High,Supervisory,Manufacturing Director,Medium,Divorced,10648,14394,1,No,25,Exceptional,Very High,1,13,6,Very High,13,8,0,8,127776,26832.96
435,33,Yes,Travel_Rarely,1277,Research & Development,15,High School,Medical,582,Medium,Male,56,High,Supervisory,Manager,High,Married,13610,24619,7,Yes,12,Satisfactory,Very High,0,15,2,Very High,7,6,7,7,163320,34297.2
436,33,Yes,Travel_Rarely,587,Research & Development,10,High School,Medical,584,Low,Male,38,Low,Entry-level,Laboratory Technician,Very High,Divorced,3408,6705,7,No,13,Satisfactory,Low,3,8,2,High,4,3,1,3,40896,8056.512000000001
437,30,No,Travel_Rarely,413,Sales,7,High School,Marketing,585,Very High,Male,57,High,Entry-level,Sales Representative,Medium,Single,2983,18398,0,No,14,Satisfactory,Low,0,4,3,High,3,2,1,2,35796,7051.812
438,35,No,Travel_Rarely,1276,Research & Development,16,Bachelor’s Degree,Life Sciences,586,Very High,Male,72,High,Supervisory,Healthcare Representative,High,Married,7632,14295,4,Yes,12,Satisfactory,High,0,10,2,High,8,7,0,0,91584,19232.64
439,31,Yes,Travel_Frequently,534,Research & Development,20,Bachelor’s Degree,Life Sciences,587,Low,Male,66,High,Supervisory,Healthcare Representative,High,Married,9824,22908,3,No,12,Satisfactory,Low,0,12,2,High,1,0,0,0,117888,24756.48
440,34,Yes,Travel_Frequently,988,Human Resources,23,Bachelor’s Degree,Human Resources,590,Medium,Female,43,High,Supervisory,Human Resources,Low,Divorced,9950,11533,9,Yes,15,Satisfactory,High,3,11,2,High,3,2,0,2,119400,25074.0
441,42,No,Travel_Frequently,1474,Research & Development,5,Associate Degree,Other,591,Medium,Male,97,High,Entry-level,Laboratory Technician,High,Married,2093,9260,4,No,17,Satisfactory,Very High,1,8,4,High,2,2,2,0,25116,4043.676
442,36,No,Non-Travel,635,Sales,10,Master’s Degree,Medical,592,Medium,Male,32,High,Supervisory,Sales Executive,Very High,Single,9980,15318,1,No,14,Satisfactory,Very High,0,10,3,Medium,10,3,9,7,119760,25149.6
443,22,Yes,Travel_Frequently,1368,Research & Development,4,High School,Technical Degree,593,High,Male,99,Medium,Entry-level,Laboratory Technician,High,Single,3894,9129,5,No,16,Satisfactory,High,0,4,3,High,2,2,1,2,46728,9205.416000000001
444,48,No,Travel_Rarely,163,Sales,2,Doctorate,Marketing,595,Medium,Female,37,High,Intermediate,Sales Executive,Very High,Married,4051,19658,2,No,14,Satisfactory,Low,1,14,2,High,9,7,6,7,48612,9576.564
445,55,No,Travel_Rarely,1117,Sales,18,Doctorate,Life Sciences,597,Low,Female,83,High,Managerial,Manager,Medium,Single,16835,9873,3,No,23,Exceptional,Very High,0,37,2,High,10,9,7,7,202020,42424.2
446,41,No,Non-Travel,267,Sales,10,Associate Degree,Life Sciences,599,Very High,Male,56,High,Intermediate,Sales Executive,Very High,Single,6230,13430,7,No,14,Satisfactory,Very High,0,16,3,High,14,3,1,10,74760,15251.039999999999
447,35,No,Travel_Rarely,619,Sales,1,Bachelor’s Degree,Marketing,600,Medium,Male,85,High,Intermediate,Sales Executive,High,Married,4717,18659,9,No,11,Satisfactory,High,0,15,2,High,11,9,6,9,56604,11547.215999999999
448,40,No,Travel_Rarely,302,Research & Development,6,Bachelor’s Degree,Life Sciences,601,Medium,Female,75,High,Managerial,Manufacturing Director,High,Single,13237,20364,7,No,15,Satisfactory,High,0,22,3,High,20,6,5,13,158844,33357.24
449,39,No,Travel_Frequently,443,Research & Development,8,High School,Life Sciences,602,High,Female,48,High,Entry-level,Laboratory Technician,High,Married,3755,17872,1,No,11,Satisfactory,Low,1,8,3,High,8,3,0,7,45060,8876.82
450,31,No,Travel_Rarely,828,Sales,2,High School,Life Sciences,604,Medium,Male,77,High,Intermediate,Sales Executive,Very High,Single,6582,8346,4,Yes,13,Satisfactory,High,0,10,2,Very High,6,5,0,5,78984,16586.64
451,42,No,Travel_Rarely,319,Research & Development,24,Bachelor’s Degree,Medical,605,Very High,Male,56,High,Supervisory,Manufacturing Director,Low,Married,7406,6950,1,Yes,21,Exceptional,Very High,1,10,5,Medium,10,9,5,8,88872,18663.12
452,45,No,Travel_Rarely,561,Sales,2,Bachelor’s Degree,Other,606,Very High,Male,61,High,Intermediate,Sales Executive,Medium,Married,4805,16177,0,No,19,Satisfactory,Medium,1,9,3,Very High,8,7,3,7,57660,11762.64
453,26,Yes,Travel_Frequently,426,Human Resources,17,Master’s Degree,Life Sciences,608,Medium,Female,58,High,Entry-level,Human Resources,High,Divorced,2741,22808,0,Yes,11,Satisfactory,Medium,1,8,2,Medium,7,7,1,0,32892,6479.724
454,29,No,Travel_Rarely,232,Research & Development,19,Bachelor’s Degree,Technical Degree,611,Very High,Male,34,High,Intermediate,Manufacturing Director,Very High,Divorced,4262,22645,4,No,12,Satisfactory,Medium,2,8,2,Very High,3,2,1,2,51144,10433.376
455,33,No,Travel_Rarely,922,Research & Development,1,Doctorate,Medical,612,Low,Female,95,Very High,Managerial,Research Director,High,Divorced,16184,22578,4,No,19,Satisfactory,High,1,10,2,High,6,1,0,5,194208,40783.68
456,31,No,Travel_Rarely,688,Sales,7,Bachelor’s Degree,Life Sciences,613,High,Male,44,Medium,Supervisory,Manager,Very High,Divorced,11557,25291,9,No,21,Exceptional,High,1,10,3,Medium,5,4,0,1,138684,29123.64
457,18,Yes,Travel_Frequently,1306,Sales,5,Bachelor’s Degree,Marketing,614,Medium,Male,69,High,Entry-level,Sales Representative,Medium,Single,1878,8059,1,Yes,14,Satisfactory,Very High,0,0,3,High,0,0,0,0,22536,3628.2960000000003
458,40,No,Non-Travel,1094,Sales,28,Bachelor’s Degree,Other,615,High,Male,58,Low,Supervisory,Sales Executive,Low,Divorced,10932,11373,3,No,15,Satisfactory,High,1,20,2,High,1,0,0,1,131184,27548.64
459,41,No,Non-Travel,509,Research & Development,2,Master’s Degree,Other,616,Low,Female,62,Medium,Intermediate,Healthcare Representative,High,Single,6811,2112,2,Yes,17,Satisfactory,Low,0,10,3,High,8,7,0,7,81732,17163.72
460,26,No,Travel_Rarely,775,Sales,29,Associate Degree,Medical,618,Low,Male,45,High,Intermediate,Sales Executive,High,Divorced,4306,4267,5,No,12,Satisfactory,Low,2,8,5,High,0,0,0,0,51672,10541.088
461,35,No,Travel_Rarely,195,Sales,1,Bachelor’s Degree,Medical,620,Low,Female,80,High,Intermediate,Sales Executive,High,Single,4859,6698,1,No,16,Satisfactory,Very High,0,5,3,High,5,4,0,3,58308,11894.831999999999
462,34,No,Travel_Rarely,258,Sales,21,Master’s Degree,Life Sciences,621,Very High,Male,74,Very High,Intermediate,Sales Executive,Very High,Single,5337,19921,1,No,12,Satisfactory,Very High,0,10,3,High,10,7,5,7,64044,13064.975999999999
463,26,Yes,Travel_Rarely,471,Research & Development,24,Bachelor’s Degree,Technical Degree,622,High,Male,66,Low,Entry-level,Laboratory Technician,Very High,Single,2340,23213,1,Yes,18,Satisfactory,Medium,0,1,3,Low,1,0,0,0,28080,4520.88
464,37,No,Travel_Rarely,799,Research & Development,1,Bachelor’s Degree,Technical Degree,623,Medium,Female,59,High,Supervisory,Manufacturing Director,Very High,Single,7491,23848,4,No,17,Satisfactory,Very High,0,12,3,Very High,6,5,1,2,89892,18877.32
465,46,No,Travel_Frequently,1034,Research & Development,18,High School,Medical,624,Low,Female,86,High,Supervisory,Healthcare Representative,High,Married,10527,8984,5,No,11,Satisfactory,Very High,0,28,3,Medium,2,2,1,2,126324,26528.039999999997
466,41,No,Travel_Rarely,1276,Sales,2,Doctorate,Life Sciences,625,Medium,Female,91,High,Managerial,Manager,Low,Married,16595,5626,7,No,16,Satisfactory,Medium,1,22,2,High,18,16,11,8,199140,41819.4
467,37,No,Non-Travel,142,Sales,9,Master’s Degree,Medical,626,Low,Male,69,High,Supervisory,Sales Executive,Medium,Divorced,8834,24666,1,No,13,Satisfactory,Very High,1,9,6,High,9,5,7,7,106008,22261.68
468,52,No,Travel_Rarely,956,Research & Development,6,Associate Degree,Technical Degree,630,Very High,Male,78,High,Intermediate,Research Scientist,Low,Divorced,5577,22087,3,Yes,12,Satisfactory,Medium,2,18,3,High,10,9,6,9,66924,13652.496
469,32,Yes,Non-Travel,1474,Sales,11,Master’s Degree,Other,631,Very High,Male,60,Very High,Intermediate,Sales Executive,High,Married,4707,23914,8,No,12,Satisfactory,Very High,0,6,2,High,4,2,1,2,56484,11522.735999999999
470,24,No,Travel_Frequently,535,Sales,24,Bachelor’s Degree,Medical,632,Very High,Male,38,High,Entry-level,Sales Representative,Very High,Married,2400,5530,0,No,13,Satisfactory,High,2,3,3,High,2,2,2,1,28800,4636.8
471,38,No,Travel_Rarely,1495,Research & Development,10,Bachelor’s Degree,Medical,634,High,Female,76,High,Intermediate,Healthcare Representative,High,Married,9824,22174,3,No,19,Satisfactory,High,1,18,4,High,1,0,0,0,117888,24756.48
472,37,No,Travel_Rarely,446,Research & Development,1,Master’s Degree,Life Sciences,635,Medium,Female,65,High,Intermediate,Manufacturing Director,Medium,Married,6447,15701,6,No,12,Satisfactory,Medium,1,8,2,Medium,6,5,4,3,77364,16246.439999999999
473,49,No,Travel_Rarely,1245,Research & Development,18,Master’s Degree,Life Sciences,638,Very High,Male,58,Medium,Executive,Research Director,High,Divorced,19502,2125,1,Yes,17,Satisfactory,High,1,31,5,High,31,9,0,9,234024,49145.04
474,24,No,Travel_Rarely,691,Research & Development,23,Bachelor’s Degree,Medical,639,Medium,Male,89,Very High,Entry-level,Research Scientist,Very High,Married,2725,21630,1,Yes,11,Satisfactory,Medium,2,6,3,High,6,5,1,4,32700,6441.900000000001
475,26,No,Travel_Rarely,703,Sales,28,Associate Degree,Marketing,641,Low,Male,66,High,Intermediate,Sales Executive,Medium,Married,6272,7428,1,No,20,Exceptional,Very High,2,6,5,Very High,5,3,1,4,75264,15805.439999999999
476,24,No,Travel_Rarely,823,Research & Development,17,Associate Degree,Other,643,Very High,Male,94,Medium,Entry-level,Laboratory Technician,Medium,Married,2127,9100,1,No,21,Exceptional,Very High,1,1,2,High,1,0,0,0,25524,4109.3640000000005
477,50,No,Travel_Frequently,1246,Human Resources,3,Bachelor’s Degree,Medical,644,Low,Male,99,High,Executive,Manager,Medium,Married,18200,7999,1,No,11,Satisfactory,High,1,32,2,High,32,5,10,7,218400,45864.0
478,25,No,Travel_Rarely,622,Sales,13,High School,Medical,645,Medium,Male,40,High,Entry-level,Sales Representative,High,Married,2096,26376,1,No,11,Satisfactory,High,0,7,1,High,7,4,0,6,25152,4049.472
